ford
tid attemp_tp tp 50lat 99lat
5 5649.93 1659.27 193.452 1780.08
4 5599.6 1637.32 191.774 2001.3
13 5596.84 1632.71 192.336 1887.58
11 5589.6 1625.45 189.1 2190.86
2 5572.63 1620.74 187.233 1802.78
1 5565.08 1627.45 184.26 1697.33
10 5563.8 1612.83 188.733 1671.63
14 5553.17 1613.42 189.217 1679.1
15 5545.09 1611.73 182.581 1754.89
3 5542.43 1615.4 184.841 1907.32
7 5528.91 1623.95 185.801 1711.95
0 5525.85 1624.49 183.069 2143.72
8 5523.63 1628.36 187.242 1950.77
9 5522.22 1612.49 183.028 1637.53
12 5511.84 1618.5 187.066 1983.16
6 5442.32 1702.57 199.145 1735.56
88832.9 26066.7 182.581 199.145 188.055 1637.53 2190.86 1845.97

